id;text;correct_answer;choice_2;choice_3;choice_4
41000;Quel nombre vient après ? 3, 6, 9, 12, …;15;14;18;13
41001;Quel nombre vient après ? 20, 18, 16, 14, …;12;10;13;16
41002;Quelle lettre vient après ? A, B, C, D, …;E;F;D;C
41003;Quelle lettre vient après ? A, C, E, G, …;I;H;J;F
41004;Lequel de ces animaux n'a pas 4 pattes ? 🐱 🐶 🐟 🐰;🐟;🐱;🐶;🐰
41005;Le petit du chat est le chaton. Le petit du chien est…;le chiot;le chevreau;le poussin;le veau
41006;Quelle forme vient ensuite ? ● ▲ ■ ● ▲ …;■;●;▲;★
41007;Le contraire de chaud est froid. Le contraire de grand est…;petit;tiède;doux;humide
41008;Parmi 3, 7, 1, 5 : quel est le plus petit nombre ?;1;3;5;7
41009;Quelle couleur vient ensuite ? 🔴 🔵 🟢 🔴 🔵 …;🟢;🔴;🔵;🟡
41010;Quel nombre vient après ? 228, 226, 224, 222, …;220;221;219;222
41011;Quel nombre vient après ? 144, 139, 134, 129, …;124;125;123;129
41012;Quel nombre vient après ? 203, 199, 195, 191, …;187;188;186;191
41013;Quel nombre vient après ? 131, 147, 163, 179, …;195;194;196;179
41014;Quel nombre vient après ? 209, 195, 181, 167, …;153;154;152;167
41015;Quel nombre vient après ? 150, 132, 114, 96, …;78;79;77;96
41016;Quel nombre vient après ? 27, 33, 39, 45, …;51;50;52;45
41017;Quel nombre vient après ? 89, 85, 81, 77, …;73;74;72;77
41018;Quel nombre vient après ? 131, 135, 139, 143, …;147;146;148;143
41019;Quel nombre vient après ? 99, 115, 131, 147, …;163;162;164;147
41020;Quel nombre vient après ? 197, 177, 157, 137, …;117;118;116;137
41021;Quel nombre vient après ? 66, 60, 54, 48, …;42;43;41;48
41022;Quel nombre vient après ? 47, 49, 51, 53, …;55;54;56;53
41023;Quel nombre vient après ? 75, 77, 79, 81, …;83;82;84;81
41024;Quel nombre vient après ? 133, 142, 151, 160, …;169;168;170;160
41025;Quel nombre vient après ? 149, 169, 189, 209, …;229;228;230;209
41026;Quel nombre vient après ? 117, 119, 121, 123, …;125;124;126;123
41027;Quel nombre vient après ? 185, 174, 163, 152, …;141;142;140;152
41028;Quel nombre vient après ? 32, 47, 62, 77, …;92;91;93;77
