id;type;text;correct_answer;choice_2;choice_3;choice_4;passage_id;qtype
25000;passage;Léa passe la journée à la plage avec son papa. Elle a emporté un seau bleu et une pelle rouge. Dès qu'elle arrive près de l'eau, elle commence à creuser le sable mouillé. Elle veut bâtir un grand château. Le château prend forme peu à peu. Il à quatre tours pointues et un petit pont. Léa plante fièrement un drapeau jaune tout en haut de la tour principale. Elle recule pour admirer son travail. Son papa l'aide à ramasser des coquillages sur le rivage. Ensemble, ils décorent les murs du château avec soin. Peu à peu, la marée monte. L'eau vient de plus en plus près du château. Léa ne s'inquiète pas du tout. Elle regarde les vagues s'approcher doucement de sa création. Elle sait que son château va bientôt disparaître. Pourtant, elle rit très fort, contente d'avoir joue toute la journée.;;;;;;
25001;question;Où Léa passe-t-elle sa journée ?;à la plage;à la piscine;à la maison;au parc;25000;L
25002;question;Avec qui est Léa ?;son papa;sa maman;son frère;sa mamie;25000;L
25003;question;Que emporte Léa ?;un seau et une pelle;une serviette et un livre;un ballon et un cerf-volant;des lunettes et une casquette;25000;L
25004;question;De quelle couleur est le seau ?;bleu;rouge;vert;jaune;25000;L
25005;question;Combien de tours à le château ?;quatre;deux;trois;cinq;25000;L
25006;question;De quelle couleur est le drapeau ?;jaune;bleu;rouge;vert;25000;L
25007;question;Que ramasse le papa de Léa ?;des coquillages;des algues;des cailloux;du bois flotte;25000;L
25008;question;Qu'est-ce qui monte peu à peu ?;la marée;la température;le vent;le soleil;25000;L
25009;question;Que fait Léa en regardant les vagues approcher ?;elle rit très fort;elle pleure;elle crie de peur;elle s'enfuit;25000;L
25010;question;Que sait Léa à propos de son château ?;qu'il va bientôt disparaître;qu'il va rester pour toujours;qu'il va s'envoler;rien de particulier;25000;L
25011;question;Que fait Léa après avoir planté le drapeau ?;elle recule pour admirer son travail;elle recommence tout depuis le début;elle pleure de fatigue;elle part se baigner;25000;L
25012;question;Comment Léa et son papa décorent-ils les murs ?;avec des coquillages;avec de la peinture;avec des algues;avec des fleurs;25000;L
25013;question;Que veut dire 'rivage' dans le texte ?;le bord de la mer;le fond de l'eau;une île;un bateau;25000;V
25014;question;Que veut dire 'fièrement' dans le texte ?;avec fierté;avec tristesse;avec peur;avec colère;25000;V
25015;question;Que veut dire 'prend forme' dans le texte ?;devient visible petit à petit;disparaît lentement;reste invisible;s'écroule;25000;V
25016;question;Que veut dire 'création' dans le texte, à propos du château ?;l'oeuvre que Léa à fabriquée;un objet acheté au magasin;un jouet casse;une photo;25000;V
25017;question;Pourquoi Léa ne s'inquiète-t-elle pas en voyant la marée monter ?;elle profite du moment sans se soucier de la suite;elle n'a pas remarque la marée;elle pense que le château est solide face à l'eau;elle veut que le château soit détruit;25000;I
25018;question;Que peut-on déduire du caractère de Léa dans cette histoire ?;elle sait profiter du moment présent;elle est très anxieuse de nature;elle n'aime pas construire de châteaux;elle préfère jouer seule;25000;I
25019;question;Pourquoi le papa de Léa l'aide-t-il à ramasser des coquillages ?;pour partager un moment avec elle et l'aider dans son projet;parce qu'il n'a rien d'autre à faire;parce que Léa le lui ordonne;pour vendre les coquillages ensuite;25000;I
25020;question;Que va probablement arriver au château une fois l'histoire terminée ?;il va être emporte par la mer;il va durer pour toujours;il va être agrandi;rien ne va changer;25000;I
25021;passage;Hugo part visiter une ferme avec toute sa classe. Le car dépose les enfants devant un grand portail en bois. La maîtresse rassemble tout le monde près du poulailler. Hugo observe des poules toutes blanches qui picorent des graines. Un peu plus loin, il caresse doucement un lapin gris. L'animal reste immobile, comme s'il faisait confiance à Hugo. Dans le pré voisin, une grosse vache brune mange de l'herbe fraîche sans se presser. Hugo tend un morceau de pain à une chèvre curieuse. Elle vient renifler sa main avant de manger. Soudain, un coq pousse un cri très fort du haut de son perchoir. Tous les enfants sursautent puis éclatent de rire. A midi, ils s'installent dehors pour manger leur pique-nique. Le fermier leur explique comment il s'occupe de ses bêtes chaque jour. Hugo trouve cette sortie formidable. Il rentre à l'école avec le sourire, en pensant déjà à raconter sa journée à ses parents.;;;;;;
25022;question;Où Hugo part-il en sortie ?;à la ferme;au musée;à la piscine;au zoo;25021;L
25023;question;Comment les enfants arrivent-ils à la ferme ?;en car;à pied;en vélo;en train;25021;L
25024;question;De quelle couleur sont les poules ?;blanches;noires;grises;rousses;25021;L
25025;question;Quel animal Hugo caresse-t-il ?;un lapin gris;un chat noir;un chien;un mouton;25021;L
25026;question;Que mange la vache ?;de l'herbe fraîche;du pain;des carottes;des graines;25021;L
25027;question;Que tend Hugo à la chèvre ?;un morceau de pain;une carotte;de l'herbe;une pomme;25021;L
25028;question;D'ou vient le cri du coq ?;du haut de son perchoir;du poulailler ferme;de la cour;du pré;25021;L
25029;question;Que font les enfants à midi ?;ils pique-niquent dehors;ils rentrent à l'école;ils dorment;ils jouent au ballon;25021;L
25030;question;Qui explique aux enfants comment il s'occupe des bêtes ?;le fermier;la maîtresse;personne;un autre enfant;25021;L
25031;question;Comment Hugo rentre-t-il à l'école ?;avec le sourire;en pleurant;fatigué et fâche;silencieux;25021;L
25032;question;À quoi Hugo pense-t-il en rentrant ?;raconter sa journée à ses parents;retourner tout de suite à la ferme;oublier cette sortie;faire ses devoirs;25021;L
25033;question;Que fait la vache pendant que Hugo la regarde ?;elle mange sans se presser;elle court;elle dort;elle beugle fort;25021;L
25034;question;Que veut dire 'picorent' dans le texte ?;mangent de petits bouts avec leur bec;dorment debout;courent vite;volent bas;25021;V
25035;question;Que veut dire 'renifler' dans le texte ?;sentir avec le nez;goûter avec la langue;regarder de près;toucher avec la patte;25021;V
25036;question;Que veut dire 'sursautent' dans le texte ?;font un mouvement brusque de surprise;restent parfaitement immobiles;s'endorment;applaudissent;25021;V
25037;question;Que veut dire 'perchoir' dans le texte ?;l'endroit où un oiseau se pose en hauteur;un enclos pour les vaches;une mangeoire;un abri contre la pluie;25021;V
25038;question;Pourquoi le lapin reste-t-il immobile quand Hugo le caresse ?;il semble faire confiance à Hugo;il dort profondément;il est effrayé;il est malade;25021;I
25039;question;Pourquoi la chèvre vient-elle vers Hugo ?;elle sent le pain et veut le manger;elle a peur de lui;elle veut jouer;elle le reconnaît;25021;I
25040;question;Qu'est-ce qui montre que Hugo à beaucoup aime la sortie ?;il rentre avec le sourire et veut la raconter;il pleure au moment de partir;il ne dit rien de la journée;il veut repartir chez lui plus tôt;25021;I
25041;question;Que peut-on déduire du travail du fermier ?;il demande de l'attention et des soins chaque jour;il ne demande aucun effort;il se fait seulement une fois par an;il est fait uniquement par des machines;25021;I
25042;passage;Nora part faire une randonnée en montagne avec sa maman, tôt un samedi matin. Le soleil se lève à peine. Elles empruntent un sentier étroit qui grimpe entre les sapins. Nora remarque des fleurs violettes au bord du chemin. Un peu plus haut, elle entend le bruit d'une cascade. L'eau tombe quelque part derrière les rochers, cachée à la vue. Un écureuil roux traverse soudain le sentier. Il disparaît aussitôt dans un arbre, effraye par les pas des randonneuses. Nora commence à sentir ses jambes fatiguer. Elle s'arrête pour boire un peu d'eau fraîche de sa gourde. Sa maman l'encourage à continuer. Elle lui rappelle que le sommet n'est plus très loin désormais. Quand elles atteignent enfin le sommet, on peut voir tout le village en contrebas. Les toits ressemblent à de petits carrés colorés. Nora se sent très fière d'avoir grimpé jusqu'en haut sans se plaindre. Elle a hâte de raconter cette aventure à son papa.;;;;;;
25043;question;Avec qui Nora part-elle en randonnée ?;sa maman;son papa;sa mamie;sa classe;25042;L
25044;question;Quel jour partent-elles ?;un samedi;un dimanche;un mercredi;un jour de semaine;25042;L
25045;question;Où passe le sentier qu'elles empruntent ?;entre les sapins;au bord de la mer;dans un village;dans un champ;25042;L
25046;question;De quelle couleur sont les fleurs ?;violettes;jaunes;rouges;blanches;25042;L
25047;question;Qu'entend Nora un peu plus haut ?;le bruit d'une cascade;un train;un chien qui aboie;de la musique;25042;L
25048;question;Quel animal traverse le sentier ?;un écureuil roux;un lapin gris;un renard;un cerf;25042;L
25049;question;Que fait Nora quand ses jambes fatiguent ?;elle boit de l'eau de sa gourde;elle abandonne la randonnée;elle demande à être portée;elle s'endort sur place;25042;L
25050;question;Que rappelle la maman de Nora ?;le sommet n'est plus très loin;il faut rentrer;il va pleuvoir;elles se sont perdues;25042;L
25051;question;À quoi ressemblent les toits vus depuis le sommet ?;de petits carres colorés;des points noirs;on ne les distingue pas;des triangles blancs;25042;L
25052;question;Comment Nora se sent-elle en haut ?;très fière;déçue;en colère;indifférente;25042;L
25053;question;À qui Nora a-t-elle hâte de raconter son aventure ?;son papa;sa maîtresse;ses amis seulement;personne en particulier;25042;L
25054;question;Qu'a fait Nora pendant toute la montée ?;elle n'a pas se plaindre;elle a beaucoup pleure;elle a demandé à rentrer;elle s'est arrêtée tout le temps;25042;L
25055;question;Que veut dire 'étroit' dans le texte ?;peu large;très long;très pentu;glissant;25042;V
25056;question;Que veut dire 'en contrebas' dans le texte ?;plus bas, en dessous;tout en haut;très loin sur le côté;au milieu;25042;V
25057;question;Que veut dire 'randonneuses' dans le texte ?;des personnes qui font une randonnée;des habitantes du village;des sportives professionnelles;des guides de montagne;25042;V
25058;question;Que veut dire 'désormais' dans le texte ?;à partir de maintenant;avant ce moment;jamais;de temps en temps;25042;V
25059;question;Pourquoi l'écureuil disparaît-il aussitôt ?;il est effrayé par les pas des randonneuses;il cherche de la nourriture ailleurs;il suit Nora;il n'aime pas les fleurs;25042;I
25060;question;Pourquoi Nora est-elle fière en arrivant au sommet ?;elle a réussi à grimper sans se plaindre;elle a gagné une course;on lui a offert un cadeau;elle a retrouvé des amis;25042;I
25061;question;Qu'est-ce que la randonnée a demandé à Nora ?;de l'effort et de la persévérance;aucun effort particulier;de l'argent;de la chance seulement;25042;I
25062;question;Que peut-on déduire de la relation entre Nora et sa maman ?;sa maman la soutient et l'encourage;sa maman est indifférente à son effort;sa maman est sévère avec elle;elles ne s'entendent pas bien;25042;I
25063;passage;Tom se rend à la fête foraine avec son grand frère, un samedi soir de fin d'été. Dès leur arrivée, Tom monte sur le manège à chevaux qui tourne en musique. Il choisit un cheval blanc à crinière dorée. Il achète ensuite une grosse barbe à papa rose. Le sucre fond doucement sur sa langue et colle un peu à ses doigts. Au stand de tir, Tom vise avec attention et gagne un ours en peluche marron. Il le serre aussitôt contre lui. La nuit tombe peu à peu. Des milliers de lumières colorées s'allument alors tout autour d'eux. Tom entend de la musique qui semble venir de partout à la fois. Les cris joyeux des visiteurs se mêlent aux airs entraînants. Pour finir la soirée, il rit aux éclats sur les autos tamponneuses avec son frère. Ils se percutent en riant, sans jamais se lasser. Quand ils rentrent enfin chez eux, Tom garde son ours serre contre lui. Quelle soirée merveilleuse pour Tom !;;;;;;
25064;question;Quand Tom va-t-il à la fête foraine ?;un samedi soir de fin d'été;un dimanche matin;un mercredi après-midi;pendant l'hiver;25063;L
25065;question;Sur quoi Tom monte-t-il en premier ?;le manège à chevaux;la grande roue;le train fantôme;le grand huit;25063;L
25066;question;Quel cheval Tom choisit-il ?;un cheval blanc à crinière dorée;un cheval noir;un cheval marron;il ne choisit pas de cheval en particulier;25063;L
25067;question;Qu'achète Tom ensuite ?;une barbe à papa;une glace;une pomme d'amour;des bonbons;25063;L
25068;question;Que gagne Tom au stand de tir ?;un ours en peluche;une poupée;un ballon;une voiture jouet;25063;L
25069;question;De quelle couleur est l'ours ?;marron;blanc;rose;noir;25063;L
25070;question;Que se passe-t-il quand la nuit tombe ?;des lumières colorées s'allument;tout s'éteint;la fête ferme;il commence à pleuvoir;25063;L
25071;question;Comment se termine la soirée de Tom ?;il rit sur les autos tamponneuses;il s'ennuie et rentre;il pleure de fatigue;il perd son ours;25063;L
25072;question;Que fait Tom dès son arrivée à la fête ?;il monte sur le manège;il mange d'abord;il rentre chez lui;il cherche son frère;25063;L
25073;question;Que garde Tom en rentrant chez lui ?;son ours serre contre lui;seulement des souvenirs;sa barbe à papa;rien du tout;25063;L
25074;question;Avec qui Tom fait-il les autos tamponneuses ?;son frère;sa mamie;seul;des inconnus;25063;L
25075;question;Que fait Tom et son frère sur les autos tamponneuses ?;ils se percutent en riant;ils évitent tous les chocs;ils s'arrêtent tout de suite;ils se disputent;25063;L
25076;question;Que veut dire 'colle' dans le texte ?;reste attachée;tombe par terre;fond vite;sent bon;25063;V
25077;question;Que veut dire 'rit aux éclats' dans le texte ?;rit très fort;pleure un peu;chante fort;crie de peur;25063;V
25078;question;Que veut dire 'se mêlent' dans le texte ?;se mélangent, se confondent;restent bien séparés;disparaissent complètement;s'arrêtent brusquement;25063;V
25079;question;Que veut dire 'entraînants' dans le texte, à propos des airs de musique ?;qui donnent envie de bouger et danser;tristes et lents;silencieux;effrayants;25063;V
25080;question;Pourquoi la barbe à papa colle-t-elle aux doigts de Tom ?;c'est du sucre qui devient collant en fondant;Tom à les mains sales;elle est trop chaude;elle est cassée;25063;I
25081;question;Qu'est-ce qui montre que Tom passe une très bonne soirée ?;il rit et qualifie la soirée de merveilleuse;il regarde tout le temps l'heure;il demande à rentrer tôt;il reste seul dans un coin;25063;I
25082;question;Pourquoi Tom serre-t-il son ours contre lui en rentrant ?;c'est un souvenir précieux de sa victoire au stand de tir;il a peur de le perdre par accident;sa maman le lui demande;il veut le donner à son frère;25063;I
25083;question;Que peut-on déduire de la relation entre Tom et son grand frère ?;ils passent un moment complice ensemble;ils se disputent tout du long;ils s'ignorent pendant la soirée;ils ne s'entendent pas bien;25063;I
25084;passage;Alice prend le train avec sa mamie pour passer le week-end à la campagne. Elle range ses affaires dans une petite valise rouge. Une fois assise, Alice regarde par la fenêtre. Le paysage défile à toute vitesse devant ses yeux. Le train traverse de grands champs verts. Des vaches y paissent tranquillement, sans se soucier du bruit. Vers midi, sa mamie sort un goûter de son sac. Elles le partagent en discutant de tout et de rien. Un contrôleur passe alors dans le wagon. Il vérifie le billet de chaque voyageur avec un petit sourire. Bercée par le mouvement régulier du train, Alice finit par s'endormir un moment. Elle rêve qu'elle court dans un champ. Quand elle se réveille, le train ralentit doucement. Il arrive enfin en gare, après un long trajet. Alice descend du train avec sa mamie, impatiente de découvrir la maison de campagne. Elle sait que de belles vacances l'attendent.;;;;;;
25085;question;Avec qui Alice prend-elle le train ?;sa mamie;son papa;sa classe;sa soeur;25084;L
25086;question;Où vont-elles ?;à la campagne;à la mer;en ville;à la montagne;25084;L
25087;question;De quelle couleur est la valise ?;rouge;bleue;verte;noire;25084;L
25088;question;Que traverse le train ?;de grands champs verts;une forêt sombre;un désert;une grande ville;25084;L
25089;question;Que font les vaches dans les champs ?;elles paissent tranquillement;elles courent;elles dorment;elles boivent;25084;L
25090;question;Que fait la mamie d'Alice vers midi ?;elle sort un goûter;elle va au wagon-restaurant;elle dort;elle téléphone;25084;L
25091;question;Qui passe dans le wagon ?;un contrôleur;un serveur;un policier;un autre voyageur;25084;L
25092;question;Que fait Alice, bercée par le train ?;elle s'endort un moment;elle chante;elle pleure;elle court dans le wagon;25084;L
25093;question;De quoi Alice rêve-t-elle ?;elle court dans un champ;elle vole dans le ciel;elle nage dans la mer;elle ne rêve de rien;25084;L
25094;question;Que fait le train quand Alice se réveille ?;il ralentit doucement;il accélère brusquement;il s'arrête en pleine campagne;il a déjà dépassé la gare;25084;L
25095;question;Comment Alice descend-elle du train ?;impatiente de découvrir la maison de campagne;déçue de son voyage;fatiguée et grognon;en pleurant;25084;L
25096;question;Combien de temps dure le séjour d'Alice ?;le week-end;une seule journée;un mois;toute une semaine;25084;L
25097;question;Que veut dire 'défile' dans le texte ?;passe rapidement devant les yeux;reste immobile;disparaît;devient flou;25084;V
