id;type;text;correct_answer;choice_2;choice_3;choice_4;passage_id;qtype
17000;passage;Milo est un chat noir et blanc qui habite avec Emma depuis trois ans, dans une petite maison au bord d'un village entouré de collines. Chaque matin, avant même que la famille ne soit réveillée, il s'installe devant la porte du jardin et attend patiemment que quelqu'un la laisse entrouverte, ne serait-ce que quelques instants. Un jour, sa maman, pressée de partir travailler et distraite par mille pensées, oublie de bien la refermer derrière elle. Milo, toujours à l'affût, en profite aussitôt pour se glisser dehors sans faire le moindre bruit, comme s'il attendait cette occasion depuis toujours. Dehors, l'herbe est encore couverte de rosée et le soleil, à peine levé, réchauffe doucement les feuilles humides. C'est alors que Milo aperçoit un papillon jaune, aux ailes bordées de noir, qui voltige avec une grâce étonnante près des fleurs du jardin voisin. Intrigue par ce ballet léger, il décide de le suivre sans réfléchir, sautant de buisson en buisson, l'oeil rive sur sa proie, sans jamais prêter attention au chemin qu'il emprunte. Le papillon, insaisissable, finit par s'envoler très haut, bien au-delà de ce que Milo pourrait atteindre, et le chat s'arrête net, le souffle court et les pattes couvertes de terre. En regardant autour de lui, il réalise avec un pincement au coeur que plus rien ne lui est familier : ni les arbres, ni les odeurs, ni même les bruits lointains du quartier qu'il connaissait pourtant si bien. Une vague de panique s'empare alors de lui et il se réfugie sous un épais buisson d'épines, où il reste immobile de longues minutes avant de se résoudre à miauler, espérant de toutes ses forces qu'on vienne enfin le chercher. De son côté, Emma, en descendant pour le petit-déjeuner, remarque bien vite l'absence de son compagnon et se met à parcourir le jardin en l'appelant, la voix de plus en plus inquiète à chaque minute qui passe. C'est finalement près du grand chêne, tout au fond du terrain, qu'elle perçoit de faibles miaulements presque étouffés par le vent. En écartant délicatement les branches, elle découvre Milo, tremblant mais sain et sauf, blotti contre le tronc. Elle le serre longuement contre elle et lui murmure des mots rassurants, jusqu'à ce que ses ronronnements reviennent peu à peu. Tous les deux rentrent alors tranquillement à la maison, heureux d'être réunis, bien décidés à ne plus se quitter du regard de la journée.;;;;;;
17001;question;Dans quel type de lieu habitent Milo et Emma ?;un village entouré de collines;une grande ville;une île;une forêt sans maisons;17000;L
17002;question;Comment le papillon poursuivi par Milo est-il décrit ?;jaune, avec des ailes bordées de noir;bleu et minuscule;blanc et très rapide;rouge et immobile;17000;L
17003;question;Comment Emma se rend-elle compte de l'absence de Milo ?;en descendant pour le petit-déjeuner;en rentrant de l'école;en entendant un bruit dans le jardin;un voisin la prévient;17000;L
17004;question;"Que signifie ""toujours à l'affût"" ?";attentif, prêt à saisir une occasion;toujours fatigué;toujours en colère;toujours endormi;17000;V
17005;question;"Que veut dire ""insaisissable"" en parlant du papillon ?";qu'on ne peut pas attraper;très lent;très grand;très bruyant;17000;V
17006;question;"Que signifie ""un pincement au coeur"" quand Milo se rend compte qu'il est perdu ?";une petite douleur, une tristesse soudaine;un grand bonheur;une envie de courir;une grande fatigue;17000;V
17007;question;"Pourquoi peut-on dire que Milo guettait la porte ouverte ""depuis toujours"" ?";il attendait cette occasion depuis longtemps;il vient d'arriver chez Emma;il n'aime pas sortir d'habitude;il ne remarque jamais la porte;17000;I
17008;question;Pourquoi Milo ne prête-t-il pas attention au chemin qu'il prend ?;il est totalement concentré sur sa poursuite du papillon;il connaît le chemin par coeur;Emma marche devant lui;il suit une odeur familière;17000;I
17009;question;À quoi voit-on que Milo est vraiment terrifié une fois perdu ?;il reste immobile de longues minutes avant même d'oser miauler;il rentre aussitôt tout seul;il continue de jouer normalement;il s'endort sous le buisson;17000;I
17010;question;Qu'est-ce qui montre qu'Emma et Milo sont très proches à la fin ?;ils décident de ne plus se quitter du regard de la journée;ils repartent chacun de leur côté;Milo retourne aussitôt dans le jardin;Emma le laisse seul pour se reposer;17000;I
17011;question;Que fait Milo chaque matin avant même que la famille ne soit réveillée ?;il s'installe devant la porte du jardin et attend;il dort profondément dans le salon;il réveille Emma en miaulant;il mange son repas dans la cuisine;17000;L
17012;question;Sur quoi Milo garde-t-il l'œil rivé en poursuivant le papillon ?;sur sa proie;sur le chemin de la maison;sur Emma qui le cherche;sur les fleurs du jardin;17000;L
17013;question;Que décident Milo et Emma à la toute fin de l'histoire ?;de ne plus se quitter du regard de la journée;de repartir chercher le papillon ensemble;de rester chacun de leur côté;d'aller se coucher immédiatement;17000;L
17014;question;"Que veut dire ""distraite par mille pensées"" à propos de la maman de Milo ce matin-là ?";préoccupée par de nombreuses idées différentes;totalement concentrée sur une seule tâche précise;très reposée et détendue;en colère sans raison particulière;17000;V
17015;question;"Que signifie ""le chat s'arrête net"" quand le papillon s'envole hors de portée ?";il s'arrête brusquement et complètement;il continue d'avancer lentement;il accélère encore sa course;il ne s'arrête jamais vraiment;17000;V
17016;question;"Que veut dire ""blotti contre le tronc"" à propos de Milo retrouvé par Emma ?";réfugié tout contre, cherchant protection et chaleur;installé confortablement en hauteur;en train de jouer joyeusement;en train de dormir profondément loin de là;17000;V
17017;question;Pourquoi peut-on dire que Milo profite de l'inattention de sa maman ce matin-là ?;elle est distraite par ses pensées et ne referme pas bien la porte, ce que Milo remarque aussitôt;Milo a lui-même ouvert la porte du jardin;Emma laisse volontairement la porte ouverte pour lui;le vent a ouvert la porte durant la nuit;17000;I
17018;question;Qu'est-ce qui montre que Milo est complètement absorbé par sa poursuite du papillon ?;il garde l'œil rivé sur sa proie sans jamais prêter attention au chemin qu'il emprunte;il s'arrête régulièrement pour vérifier le chemin du retour;il abandonne rapidement cette poursuite pour rentrer;il pense sans cesse à Emma pendant qu'il court;17000;I
