id;text;correct_answer;choice_2;choice_3;choice_4
2247;Comment s'appelle la femelle du : cheval ?;jument;cheval;chevale;jumente
2248;Comment s'appelle la femelle du : singe ?;guenon;singe;singee;guenone
2249;Comment s'appelle la femelle du : chien ?;chienne;chien;chiene;chienn
2250;Comment s'appelle la femelle du : canard ?;cane;canard;canarde;can
2251;Comment s'appelle la femelle du : loup ?;louve;loup;loupe;louv
2252;Comment s'appelle la femelle du : lion ?;lionne;lion;lione;lionn
2253;Comment s'appelle la femelle du : coq ?;poule;coq;coqe;poul
2254;Comment s'appelle la femelle du : âne ?;ânesse;âne;ânee;âness
2255;Comment s'appelle la femelle du : tigre ?;tigresse;tigre;tigrée;tigress
2256;Comment s'appelle la femelle du : boeuf ?;vache;boeuf;boeufe;vach
2324;Paul ___ Marie jouent ensemble.;et;est;es;ai
2325;Le ciel ___ bleu aujourd'hui.;est;et;es;ai
2326;Tom ___ Lea sont amis.;et;est;es;ai
2327;Ce gâteau ___ délicieux.;est;et;es;ai
2328;Il joue avec ___ chien.;son;sont;sons;se
2329;Les enfants ___ contents.;sont;son;sons;se
2330;Elle range ___ cartable.;son;sont;sons;se
2331;Mes amis ___ en retard.;sont;son;sons;se
2332;Quel mois vient juste après janvier ?;février;octobre;novembre;décembre
2333;Quel mois vient juste après février ?;mars;novembre;octobre;juillet
2334;Quel mois vient juste après mars ?;avril;janvier;novembre;mars
2335;Quel mois vient juste après avril ?;mai;avril;janvier;juin
2336;Quel mois vient juste après mai ?;juin;avril;novembre;octobre
2337;Quel mois vient juste après juin ?;juillet;mars;novembre;août
2338;Quel mois vient juste après juillet ?;août;novembre;juillet;septembre
2339;Quel mois vient juste après août ?;septembre;décembre;juin;juillet
2340;Quel mois vient juste après septembre ?;octobre;septembre;août;mai
2341;Quel mois vient juste après octobre ?;novembre;juillet;octobre;janvier
2342;Quel mois vient juste après novembre ?;décembre;juin;novembre;août
2343;Quel mois vient juste après décembre ?;janvier;avril;juin;décembre
2364;Quel est un synonyme de 'grand' ?;immense;minuscule;joli;rapide
2365;Quel est un synonyme de 'commencer' ?;débuter;observer;discuter;raconter
2366;Quel est un synonyme de 'drôle' ?;amusant;joli;triste;malheureux
2367;Quel est un synonyme de 'triste' ?;malheureux;épuisé;amusant;immense
2368;Quel est un synonyme de 'parler' ?;discuter;observer;raconter;débuter
2369;Quel est un synonyme de 'fatigue' ?;épuisement;joli;malheureux;triste
2370;Noé ___ rapide en ce moment.;est;et;es;ai
2371;Louna ___ vraiment timide.;est;et;es;ai
2372;Aujourd'hui, Capucine ___ bavarde.;est;et;es;ai
2373;Lola ___ bavarde en ce moment.;est;et;es;ai
2374;Louna ___ vraiment douée.;est;et;es;ai
2375;Aujourd'hui, Robin ___ vif.;est;et;es;ai
2376;Milo ___ têtu en ce moment.;est;et;es;ai
2377;Raphaël ___ vraiment serviable.;est;et;es;ai
2398;Quel mois vient juste avant janvier ?;décembre;septembre;octobre;août
2399;Quel mois vient juste avant février ?;janvier;septembre;mai;avril
2400;Quel mois vient juste avant mars ?;février;septembre;juillet;mars
30000;Comment s'appelle la femelle du : cerf ?;biche;cerf;cerfe;bichee
30001;Comment s'appelle le mâle de la : biche ?;cerf;biche;bichee;cerfe
30002;Comment s'appelle la femelle du : bouc ?;chèvre;bouc;bouce;chèvree
30003;Comment s'appelle le mâle de la : chèvre ?;bouc;chèvre;chèvree;bouce
30004;Comment s'appelle la femelle du : dindon ?;dinde;dindon;dindone;dindee
30005;Comment s'appelle le mâle de la : dinde ?;dindon;dinde;dindee;dindone
30006;Comment s'appelle la femelle du : jars ?;oie;jars;jarse;oiee
30007;Comment s'appelle le mâle de la : oie ?;jars;oie;oiee;jarse
30008;Comment s'appelle la femelle du : taureau ?;vache;taureau;taureaue;vachee
30009;Comment s'appelle le mâle de la : vache ?;taureau;vache;vachee;taureaue
30010;Comment s'appelle la femelle du : éléphant ?;éléphante;éléphant;éléphantee;éléphantes
30011;Comment s'appelle le mâle de la : éléphante ?;éléphant;éléphante;éléphantee;éléphants
30012;Comment s'appelle la femelle du : perroquet ?;perruche;perroquet;perroquete;perruchee
30013;Comment s'appelle le mâle de la : perruche ?;perroquet;perruche;perruchee;perroquete
