id;text;correct_answer;choice_2;choice_3;choice_4
22000;"Comment dit-on ""j'ai fait de la gymnastique le week-end dernier"" en anglais ?";I did gymnastics last weekend;I did volleyball last weekend;I did rugby last weekend;I did tennis last weekend
22001;"Que veut dire ""cleanest"" en français ?";le plus propre;le plus riche;le plus chaud;le plus lourd
22002;"Comment dit-on ""un fleuve est plus large que un ruisseau"" en anglais ?";A river is wider than a stream;A truck is longer than a motorbike;A mountain is cleaner than a hill;A rock is wider than a feather
22003;"Comment dit-on ""j'ai choisi"" en anglais ?";I chose;I sent;I drove;I broke
22004;"Comment dit-on ""je suis tombé"" en anglais ?";I fell;I thought;I chose;I flew
22005;"Comment dit-on ""j'ai porté des chaussettes hier"" en anglais ?";I wore socks yesterday;I wore a tie yesterday;I wore a coat yesterday;I wore a dress yesterday
22006;"Comment dit-on ""j'ai rencontré un écrivain hier"" en anglais ?";I met a writer yesterday;I met an architect yesterday;I met a driver yesterday;I met a sailor yesterday
22007;"Comment dit-on ""j'ai vu un hibou au zoo"" en anglais ?";I saw an owl at the zoo;I saw a bat at the zoo;I saw a fox at the zoo;I saw a crab at the zoo
22008;"Comment dit-on ""j'ai rencontré un mécanicien hier"" en anglais ?";I met a mechanic yesterday;I met a journalist yesterday;I met a butcher yesterday;I met a pilot yesterday
22009;"Comment dit-on ""camion"" en anglais ?";truck;boat;bus;plane
22010;"Comment dit-on ""j'ai porté des chaussures hier"" en anglais ?";I wore shoes yesterday;I wore socks yesterday;I wore a coat yesterday;I wore gloves yesterday
22011;"Comment dit-on ""un camion est plus riche que une moto"" en anglais ?";A truck is richer than a motorbike;A building is hotter than a house;A train is higher than a bicycle;A plane is louder than a bird
22012;"Que veut dire ""noon"" en français ?";midi;hier;aujourd'hui;matin
22013;"Comment dit-on ""parfois, je fais mes devoirs"" en anglais ?";I sometimes do my homework;I never wash my hands;I never do my homework;I often do sport
22014;"Comment dit-on ""j'ai rencontré un avocat hier"" en anglais ?";I met a lawyer yesterday;I met a butcher yesterday;I met a driver yesterday;I met a baker yesterday
22015;"Comment dit-on ""moins riche que"" en anglais ?";less rich than;less wide than;less heavy than;heaviest
22016;"Comment dit-on ""un train est plus long que une bicyclette"" en anglais ?";A train is longer than a bicycle;A mountain is louder than a hill;A truck is richer than a motorbike;A plane is longer than a bird
22017;"Comment dit-on ""j'ai vu un lézard au zoo"" en anglais ?";I saw a lizard at the zoo;I saw a peacock at the zoo;I saw an eagle at the zoo;I saw a swan at the zoo
22018;"Comment dit-on ""j'ai vu un cygne au zoo"" en anglais ?";I saw a swan at the zoo;I saw a crocodile at the zoo;I saw an eagle at the zoo;I saw a seal at the zoo
22019;"Comment dit-on ""j'ai fermé la fenêtre"" en anglais ?";I closed the window;I found a treasure;I broke my toy;I broke a plate
