id;text;correct_answer;choice_2;choice_3;choice_4
19000;Comment dit-on 'oiseau' en anglais ?;bird;horse;sheep;mouse
19001;Comment dit-on 'chaussettes' en anglais ?;socks;dress;hat;shirt
19002;Que veut dire 'five' en français ?;cinq;neuf;un;sept
19003;Comment dit-on 'un' en anglais ?;one;nine;six;ten
19004;Comment dit-on 'vendredi' en anglais ?;friday;sunday;tuesday;wednesday
19005;Comment dit-on 'porte' en anglais ?;door;pen;table;window
19006;Que veut dire 'door' en français ?;porte;chaise;fenêtre;livre
19007;Comment dit-on 'trois' en anglais ?;three;ten;two;five
19008;Comment dit-on 'bras' en anglais ?;arm;nose;leg;head
19009;Que veut dire 'december' en français ?;décembre;novembre;mars;août
19010;Comment dit-on 'rose' en anglais ?;pink;green;orange;black
19011;Comment dit-on 'lapin' en anglais ?;rabbit;sheep;horse;dog
19012;Comment dit-on 'vache' en anglais ?;cow;sheep;horse;bird
19013;Que veut dire 'arm' en français ?;bras;pied;oeil;bouche
19014;Comment dit-on 'avril' en anglais ?;april;may;september;october
19015;Que veut dire 'cow' en français ?;vache;cheval;chien;souris
19016;Que veut dire 'dog' en français ?;chien;cheval;vache;cochon
19017;Comment dit-on 'blanc' en anglais ?;white;red;blue;yellow
19018;Comment dit-on 'août' en anglais ?;august;june;february;september
19019;Que veut dire 'shirt' en français ?;chemise;robe;chapeau;manteau
19020;Comment dit-on 'jeudi' en anglais ?;thursday;friday;tuesday;wednesday
19021;Comment dit-on 'cinq' en anglais ?;five;four;eight;three
19022;Comment dit-on 'samedi' en anglais ?;saturday;tuesday;monday;friday
19023;Comment dit-on 'mercredi' en anglais ?;wednesday;friday;sunday;thursday
19024;Comment dit-on 'frère' en anglais ?;brother;dad;grandma;sister
19025;Que veut dire 'purple' en français ?;violet;orange;blanc;gris
19026;Que veut dire 'pig' en français ?;cochon;poisson;oiseau;cheval
19027;Que veut dire 'socks' en français ?;chaussettes;pantalon;robe;chemise
19028;Que veut dire 'june' en français ?;juin;février;décembre;avril
19029;Que veut dire 'tuesday' en français ?;mardi;lundi;samedi;jeudi
19030;Comment dit-on 'chat' en anglais ?;cat;bird;sheep;mouse
19031;Que veut dire 'grandma' en français ?;grand-mère;soeur;bébé;maman
19032;Comment dit-on 'chemise' en anglais ?;shirt;coat;socks;dress
19033;Que veut dire 'thursday' en français ?;jeudi;samedi;lundi;dimanche
19034;Que veut dire 'two' en français ?;deux;cinq;dix;trois
19035;Que veut dire 'july' en français ?;juillet;novembre;avril;août
19036;Que veut dire 'ten' en français ?;dix;quatre;un;huit
19037;Comment dit-on 'stylo' en anglais ?;pen;door;pencil;ruler
19038;Comment dit-on 'dix' en anglais ?;ten;three;five;two
19039;Que veut dire 'mouse' en français ?;souris;lapin;chat;oiseau
19040;Comment dit-on 'main' en anglais ?;hand;mouth;foot;head
19041;Comment dit-on 'table' en anglais ?;table;ruler;notebook;book
19042;Que veut dire 'september' en français ?;septembre;juin;août;mars
19043;Comment dit-on 'manteau' en anglais ?;coat;trousers;hat;shirt
19044;Que veut dire 'table' en français ?;table;cahier;stylo;livre
19045;Comment dit-on 'oreille' en anglais ?;ear;eye;hand;mouth
19046;Que veut dire 'friday' en français ?;vendredi;mardi;mercredi;dimanche
19047;Que veut dire 'monday' en français ?;lundi;vendredi;dimanche;jeudi
19048;Comment dit-on 'tête' en anglais ?;head;tummy;mouth;foot
19049;Comment dit-on 'mai' en anglais ?;may;january;july;december
19050;Comment dit-on 'mars' en anglais ?;march;august;september;december
19051;Que veut dire 'trousers' en français ?;pantalon;chaussettes;manteau;robe
19052;Comment dit-on 'grand-mère' en anglais ?;grandma;brother;mom;baby
19053;Que veut dire 'blue' en français ?;bleu;blanc;vert;rose
19054;Que veut dire 'rabbit' en français ?;lapin;souris;chien;vache
