id;text;correct_answer;choice_2;choice_3;choice_4
11082;Il pose le livre ___ (à cet endroit).;là;l'a;las;l'as
11083;Marie ___ vu hier (elle a).;l'a;la;las;l'as
11084;Tu ___ déjà rencontré (tu l'as).;l'as;la;l'a;las
11085;Regarde ___-bas, c'est ma maison.;là;l'a;las;l'as
11086;Il ___ manger avant de partir (a le droit de).;peut;peu;peux;peue
11087;Je ne ___ pas venir demain (capacité).;peux;peu;peut;peue
11088;Il reste ___ de temps avant le départ (quantité).;peu;peux;peut;peue
11089;Tu ___ finir ton assiette (capacité).;peux;peu;peut;peue
11090;Je préfère ___ le matin que le soir (de préférence).;plutôt;plus tôt;plutôt bien;plu tôt
11091;Nous sommes arrives ___ que prévu (avant l'heure).;plus tôt;plutôt;plus tard;plutard
11092;Il vaut mieux partir ___ que d'attendre.;plutôt;plus tôt;plus tard;plutard
11093;Elle est arrivée ___ ce matin.;plus tôt;plutôt;plus tard;plutard
11094;___ que de pleurer, il faut agir.;Plutôt;Plus tôt;Plus tard;Plutard
11095;Il est parti ___ que d'habitude (avant l'heure).;plus tôt;plutôt;plus tard;plutard
11096;Je pense qu'il vaut mieux choisir ___ le rouge.;plutôt;plus tôt;plus tard;plutard
11097;Il n'est ___ arrivé en retard (jamais).;jamais;toujours;souvent;parfois
11098;Elle vient ___ nous voir (souvent).;souvent;jamais;rarement;toujours
11099;Nous sommes ___ prêts à l'heure (toujours).;toujours;jamais;rarement;souvent
11100;Il a ___ fini son travail (déjà).;déjà;encore;jamais;bientôt
11101;Elle n'a pas ___ terminé (encore).;encore;déjà;jamais;bientôt
11102;Il fait ___ trop chaud ici (vraiment).;vraiment;beaucoup;assez;trop
11103;J'ai ___ de devoirs ce soir (beaucoup).;beaucoup;trop;assez;peu
11104;Il est ___ grand pour son âge (assez).;assez;trop;beaucoup;très
11105;Elle chante ___ bien (très).;très;trop;assez;beaucoup
11106;Nous partirons ___ (bientôt).;bientôt;déjà;encore;jamais
11107;Comment écrit-on le verbe 'appeler' avec 'j' au présent ?;j'appelle;j'appelé;j'apelle;j'apele
11108;Comment écrit-on le verbe 'jeter' avec 'je' au présent ?;je jette;je jeté;je gette;je gete
11109;Comment s'écrit le mot pour 'endroit où l'on habite' ?;adresse;esserda;adrese;adreesse
11110;Comment s'écrit le mot pour 'personne qui enseigne' ?;professeur;profeseur;proffeseur;professeure
11111;Combien de 'r' dans le mot 'arriver' ?;deux;un;trois;zéro
11112;Combien de 'm' dans le mot 'pomme' ?;deux;un;trois;zéro
11113;Combien de 'l' dans le mot 'ballon' ?;deux;un;trois;zéro
11114;Combien de 't' dans le mot 'lettre' ?;deux;un;trois;zéro
11115;Comment s'écrit correctement : 'la classe' ou 'la clase' ?;la classe;la clase;la classse;la clace
11116;Comment s'écrit correctement : 'le tapis' ou 'le tapiss' ?;le tapis;le tapiss;le tapit;le tapix
